                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.1135,                0.85207,                 1.2084,                0.71447,                0.45117,                0.53949,                0.43668,                 0.2236,                 4.1061,                0.23144,              0.0084556,              0.0084556,              0.0084556
                     81,                 1.1118,                 0.8527,                 1.2087,                0.71565,                0.45122,                0.53972,                0.43693,                 0.2236,                 4.0689,                0.23146,              0.0084358,              0.0084358,              0.0084358
                     82,                 1.1128,                0.85319,                 1.2067,                0.72257,                0.45138,                0.54078,                0.43828,                0.22361,                  4.054,                0.23145,               0.008416,               0.008416,               0.008416
                     83,                 1.1125,                0.85171,                 1.2042,                0.72802,                0.45107,                0.54078,                0.43832,                 0.2237,                 4.0332,                0.23146,              0.0083962,              0.0083962,              0.0083962
                     84,                 1.1116,                0.85166,                 1.2056,                0.72696,                0.45087,                0.53996,                0.43771,                 0.2236,                 4.0535,                0.23145,              0.0083764,              0.0083764,              0.0083764
                     85,                  1.111,                 0.8516,                 1.2079,                0.72886,                0.45063,                0.54085,                0.43854,                0.22359,                 4.0299,                0.23144,              0.0083566,              0.0083566,              0.0083566
                     86,                  1.112,                0.85161,                 1.2071,                0.72415,                0.45076,                0.53889,                0.43672,                0.22361,                 3.9712,                0.23143,              0.0083368,              0.0083368,              0.0083368
                     87,                 1.1068,                0.84694,                 1.2059,                0.71981,                0.45095,                0.53848,                0.43614,                0.22351,                 3.9139,                 0.2313,               0.008317,               0.008317,               0.008317
                     88,                  1.113,                0.84459,                 1.2044,                0.72038,                0.45098,                0.53916,                0.43641,                0.22358,                 3.9053,                 0.2313,              0.0082972,              0.0082972,              0.0082972
                     89,                  1.106,                0.84505,                  1.199,                0.72537,                0.45108,                0.54047,                0.43817,                0.22346,                  3.905,                0.23115,              0.0082774,              0.0082774,              0.0082774
                     90,                 1.1104,                 0.8494,                 1.2055,                0.73508,                0.45052,                0.54152,                0.43891,                0.22326,                 3.9476,                0.23104,              0.0082576,              0.0082576,              0.0082576
                     91,                  1.109,                0.84742,                 1.2043,                0.73601,                0.45031,                0.54096,                0.43869,                0.22326,                 3.9611,                0.23099,              0.0082378,              0.0082378,              0.0082378
                     92,                 1.1092,                0.84939,                 1.2057,                0.73771,                0.45028,                0.54167,                0.43904,                0.22324,                 3.9348,                0.23097,               0.008218,               0.008218,               0.008218
                     93,                 1.1054,                0.84405,                 1.2026,                0.74185,                0.44994,                 0.5423,                0.43985,                0.22313,                 3.9037,                0.23094,              0.0081982,              0.0081982,              0.0081982
